order_id,order_date,customer_name,region,product,quantity,unit_price,revenue,load_timestamp
ORD-1001,2026-08-01,Acme Corp,North America,Widget A,10,25.00,250.00,2026-08-03T09:15:00Z
ORD-1002,2026-08-01,Beacon LLC,EMEA,Widget B,5,40.00,200.00,2026-08-03T09:16:00Z
ORD-1003,2026-08-02,Chelsea Retail,APAC,Widget C,20,15.50,310.00,2026-08-03T09:17:00Z
ORD-1004,2026-08-02,Delta Supplies,North America,Widget A,8,25.00,200.00,2026-08-03T09:18:00Z
ORD-1005,2026-08-02,Echo Traders,,Widget D,12,30.00,360.00,2026-08-03T09:19:00Z
ORD-1006,2026-08-02,Foxtrot Inc,EMEA,Widget B,6,40.00,240.00,2026-08-03T09:20:00Z
ORD-1007,2026-08-03,Granite Co,APAC,Widget C,15,15.50,232.50,2026-08-03T09:21:00Z
ORD-1008,2026-08-03,Harbor Goods,North America,Widget A,4,25.00,-100.00,2026-08-03T09:22:00Z
ORD-1009,2026-08-03,Ivory Systems,EMEA,Widget D,9,30.00,270.00,2026-08-03T09:23:00Z
ORD-1004,2026-08-03,Delta Supplies,North America,Widget A,8,25.00,200.00,2026-08-03T09:25:00Z
ORD-1010,2026-08-02,Juniper Labs,APAC,Widget B,7,40.00,280.00,2026-07-30T10:00:00Z
ORD-1011,2026-08-03,Kestrel Retail,North America,Widget C,11,15.50,170.50,2026-08-03T09:27:00Z
